Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Gemma-Instruct,0.32472842151885445,0.8671429202552424,0.36956720533178516,0.20966347274836156,0.286162228745895,0.22541114923324934,0.08511383912047378,0.15538296634302548,0.09968827432699415,0.69,0.69,0.69,0.44916666666666655,0.6316666666666667,0.5025,0.18370737565574516,0.4054166666666667,0.2299925391687774
LLaMA3-Instruct,0.4057680962035755,0.9200719469268168,0.44049103871530243,0.19520437767479976,0.3626228139347522,0.23162420476690393,0.037576144028769874,0.2669824291286911,0.057755715416260955,0.69,0.69,0.69,0.36083333333333323,0.675,0.4484999999999998,0.08449934599359145,0.6075,0.1292016725804975
Mistral-Instruct,0.3183865887615772,0.8397730553349885,0.3471599872153777,0.18595497606463218,0.27238399847139366,0.19830289281729482,0.07462853808341453,0.17911675047429904,0.09114399642657958,0.685,0.685,0.685,0.43749999999999994,0.6483333333333334,0.4981666666666665,0.1920562406243268,0.54125,0.24026440976377036
