Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Gemma-Instruct,0.2787541437745304,0.7573981597970046,0.30680688430069264,0.17337974060575995,0.22259416147976632,0.172811518196286,0.06840893592630387,0.11137504885079515,0.07446089614049428,0.7,0.7,0.7,0.4425,0.625,0.49866666666666676,0.18706782106782105,0.3425,0.22345670995670996
LLaMA3-Instruct,0.306935202725582,0.844934071234978,0.3528145443872582,0.17741801749657912,0.25550185297827194,0.1899392597730667,0.07952013604313395,0.1539166874394375,0.09490482167741578,0.665,0.665,0.665,0.40499999999999986,0.605,0.4666666666666665,0.18147601010101017,0.41666666666666674,0.2291059079809079
Mistral-Instruct,0.31094398222607417,0.8519011430442021,0.3592216315634256,0.19493953838681857,0.2938292019537214,0.21050194734307595,0.07531961531742054,0.1547656096846345,0.08932078945067393,0.685,0.685,0.685,0.4341666666666666,0.6441666666666667,0.4988333333333332,0.1894770923520923,0.41125,0.2381078643578643
