Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Gemma-Instruct,0.439421229097275,0.9927992158944329,0.5024840590467041,0.19349099748590295,0.4230587562015433,0.24782095655345798,0.02870986233788141,0.33090873755841804,0.04970799080817554,0.685,0.685,0.685,0.32083333333333364,0.685,0.41999999999999976,0.05539837223955206,0.6458333333333335,0.09987941870924771
LLaMA3-Instruct,0.40615439604504033,0.963544772436632,0.4597399847679948,0.18092903858884019,0.37227506268659305,0.22172199845974014,0.03084330593244517,0.2107516799949185,0.049991337634209154,0.685,0.685,0.685,0.32333333333333364,0.675,0.4193333333333331,0.062404641336513016,0.5808333333333333,0.10952847750869232
Mistral-Instruct,0.3578302673737359,0.9523655049132664,0.41944704862236676,0.21346311170504847,0.36543080879254347,0.247710941217445,0.07760660972738277,0.2462578254974587,0.10531084421446277,0.685,0.685,0.685,0.4116666666666665,0.67,0.48716666666666647,0.14502257893950918,0.5279166666666667,0.207372300236693
