Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Gemma-Instruct,0.2917358621733448,0.7815618995869794,0.32337469976375777,0.1896731856802965,0.24718777773654568,0.1989314944967135,0.08760619159536227,0.13892519571741396,0.09897903842742821,0.7,0.7,0.7,0.4875,0.635,0.5348333333333336,0.23435912698412698,0.40666666666666673,0.2775156220591002
LLaMA3-Instruct,0.39581669530375285,0.9392162780389434,0.4434232589987186,0.20558852946084621,0.3425569292815512,0.2350680614621515,0.054107118926717275,0.22355738839797162,0.07625142679159884,0.675,0.675,0.675,0.3666666666666666,0.66,0.4501666666666666,0.10793169606899583,0.5333333333333333,0.1586762773591653
Mistral-Instruct,0.2790492473580423,0.7943272416983216,0.3166621914167489,0.19967540235468328,0.2684361468730331,0.20577430931592283,0.09257190710419186,0.155990353076725,0.10482154797062053,0.725,0.725,0.725,0.5125000000000001,0.6558333333333334,0.557,0.25647023809523806,0.43541666666666656,0.30108159177986754
