Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Gemma-Instruct,0.2726409286560807,0.7970526966958102,0.3178065241995709,0.1692549272261504,0.24943349314939034,0.18522893051133754,0.0643781637973514,0.12422676764356617,0.07447161116686739,0.64,0.64,0.64,0.41416666666666657,0.595,0.4695000000000001,0.15811634199134195,0.3183333333333333,0.19526176601176595
LLaMA3-Instruct,0.33842407747892655,0.8925969590343847,0.39600769675791975,0.1990655434757783,0.30134363297341293,0.22139358281582427,0.0707029486972161,0.1831449660247176,0.09224104714534963,0.675,0.675,0.675,0.3974999999999998,0.6483333333333334,0.47133333333333327,0.15514620102120097,0.44625,0.2124749107102048
Mistral-Instruct,0.31235728224490006,0.8480056947359799,0.3531329243263974,0.2012573860992803,0.28036628124004215,0.2100566063774267,0.08091946288281882,0.16000160044467238,0.0994903722278481,0.685,0.685,0.685,0.44166666666666676,0.6066666666666667,0.4915000000000001,0.19545887445887453,0.3979166666666667,0.24392363192363187
